programme_id, programme_year, programme_semester, module_id
LM121, 1, 1, CS4141
LM121, 1, 1, CS4012
LM121, 1, 1, CS4221
LM121, 1, 1, ET4011
LM121, 1, 1, MS4111
LM121, 1, 2, CS4142
LM121, 1, 2, CS4182
LM121, 1, 2, CS4222
LM121, 1, 2, ET4012
LM121, 1, 2, MA4052
LM051, 2, 1, CS4023
LM051, 2, 1, CS4004
LM051, 2, 1, CS4178
LM051, 2, 1, CS4416
LM051, 2, 1, CS4013
LM097, 2, 1, EN4033
LM097, 2, 1, MS4131
LM097, 2, 1, CS4416
LM097, 2, 1, EN4063
LM097, 2, 1, EN4053
LM097, 2, 1, CS4013
LM110, 2, 1, CS4013
LM110, 2, 1, CS4023
LM110, 2, 1, CS4416
LM110, 2, 1, CS4004
LM110, 2, 1, CS4093
